           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            123,   225.1019    ,   176.9100    ,  0.2056791    ,   263.8023    ,   335.5862    ,   3.983093    ,   54.06446    ,   37.71372    ,   13.87421    ,   1.234222    ,   3.162720    ,   8.048648    ,  -2.677368    , -0.3051758E-04,   3.676727    ,   2.245758    ,  0.8757935    ,  0.4804851E-02,  0.9168441    ,   80019.95    ,
           1980,            124,   250.4216    ,   196.1928    ,  0.2085667    ,   256.4375    ,   331.5704    ,   3.093506    ,   67.62053    ,   47.82635    ,   5.092045    ,  -1.059265    ,   2.192993    ,   8.095719    ,  -2.351868    ,  0.6103516E-04,   3.677521    ,   3.297394    ,  0.8961792    ,  0.3776657E-02,  0.8807753    ,   80468.02    ,
           1980,            125,   285.7429    ,   223.7324    ,  0.2081643    ,   240.7458    ,   332.4147    ,   3.077240    ,   67.13280    ,   54.95140    ,   8.430169    , -0.2387695    ,   2.348816    ,   8.092792    ,  -3.847046    , -0.6103516E-04,   3.509552    ,   3.234711    ,  0.9228210    ,  0.3895592E-02,  0.8503599    ,   80651.77    ,
           1980,            126,   282.5090    ,   220.8755    ,  0.2084079    ,   255.9874    ,   339.3271    ,   4.573425    ,   70.75062    ,   53.26742    ,   12.38953    ,  0.6979675    ,   3.735718    ,   8.076617    ,  -2.565002    ,  0.6103516E-04,   4.365417    ,   3.458252    ,  0.9476624    ,  0.4601887E-02,  0.8458657    ,   80552.81    ,
           1980,            127,   198.3222    ,   154.9726    ,  0.2087569    ,   281.9254    ,   337.0640    ,   4.315399    ,   55.12520    ,   36.46864    ,   7.284551    ,  0.5384216    ,   3.288910    ,   8.059570    ,  -1.341339    ,  0.6103516E-04,   4.456512    ,   3.916992    ,  0.9764099    ,  0.4672823E-02,  0.8499740    ,   80079.95    ,
           1980,            128,   163.4599    ,   126.9852    ,  0.2157755    ,   303.4829    ,   339.0609    ,   4.854645    ,   48.13760    ,   35.37748    ,   6.554251    ,  0.6113281    ,   3.623108    ,   8.064406    , -0.1240234    ,  0.6103516E-04,   4.791931    ,   4.092163    ,   1.009216    ,  0.4810546E-02,  0.8614801    ,   80248.41    ,
           1980,            129,   303.0010    ,   235.6494    ,  0.2134120    ,   249.8300    ,   343.4876    ,   5.417053    ,   74.49072    ,   62.70514    ,   4.626461    ,  0.6848145    ,   4.286682    ,   8.035741    ,  -1.289612    ,  0.6103516E-04,   4.652893    ,   3.684570    ,   1.042175    ,  0.4659355E-02,  0.8618991    ,   79531.16    ,
           1980,            130,   288.5083    ,   224.6257    ,  0.2125974    ,   246.8130    ,   337.7256    ,   4.125336    ,   72.25522    ,   55.15673    ,   6.019148    ,  0.6143799    ,   3.166168    ,   8.024847    ,  -2.111664    ,  0.6103516E-04,   4.304932    ,   3.778748    ,   1.071075    ,  0.4449881E-02,  0.8762753    ,   79223.30    ,
           1980,            131,   340.7330    ,   265.5873    ,  0.2112601    ,   217.5052    ,   336.6260    ,   3.719452    ,   78.83950    ,   60.18517    ,   6.447642    , -0.2852173    ,   2.544189    ,   8.062217    ,  -3.088440    , -0.3051758E-04,   4.165833    ,   3.741699    ,   1.100311    ,  0.3859291E-02,  0.8575354    ,   79870.82    ,
           1980,            132,   313.9026    ,   244.6325    ,  0.2107524    ,   240.7357    ,   342.7087    ,   5.017700    ,   75.19650    ,   53.34738    ,   12.15855    ,  0.6384277    ,   3.512054    ,   8.050957    ,  -2.474731    , -0.6103516E-04,   4.721588    ,   3.825958    ,   1.128448    ,  0.4329518E-02,  0.8525344    ,   79878.84    ,
