           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,            123,  0.3107182    ,   1.299370    ,   61.38012    ,  0.6101885    ,   60.75750    ,  0.1242602E-01,  -51.92328    ,  0.3107182    ,   1.299370    ,   61.38012    ,  0.6101885    ,   60.75750    ,  0.1242602E-01,  0.1123702E-01,  0.5343634E-02,  0.2667516E-01,  0.3192208E-03,  0.3829433E-02,   20.15925    ,  0.2846237    ,   20.44387    ,   59.08955    ,  0.1035430E-01,   59.09991    ,   460.4622    ,   0.000000    ,   460.4622    ,   539.7110    ,  0.2949780    ,   540.0060    ,   6.077085    ,   0.000000    ,   546.1304    ,  -51.92328    ,
           1980,            124,  0.4212433    ,   2.950778    ,   63.76204    ,   1.481784    ,   62.24001    ,  0.4024688E-01,  -60.80255    ,  0.1105250    ,   1.651408    ,   2.381924    ,  0.8715954    ,   1.482507    ,  0.2782087E-01,  0.2602774E-01,  0.6014078E-02,  0.6329383E-01,  0.7512016E-03,  0.3125892E-02,   18.81356    ,  0.1796075    ,   18.99317    ,   57.67546    ,  0.1189953E-03,   57.67557    ,   440.3543    ,   0.000000    ,   440.3543    ,   516.8433    ,  0.1797265    ,   517.0230    ,   11.24955    ,   0.000000    ,   528.3718    ,  -17.75854    ,
           1980,            125,  0.4313188    ,   4.848963    ,   65.13208    ,   2.354358    ,   62.69763    ,  0.8009332E-01,  -64.70978    ,  0.1007556E-01,   1.898185    ,   1.370043    ,  0.8725744    ,  0.4576222    ,  0.3984645E-01,  0.1079529E-03,  0.1369590E-03,  0.4242050E-01,  0.4365214E-03,  0.6490091E-03,   17.56343    ,  0.8010333    ,   18.36446    ,   56.32310    ,  0.2604390E-02,   56.32570    ,   436.1375    ,   0.000000    ,   436.1375    ,   510.0241    ,  0.8036377    ,   510.8277    ,   14.65792    ,   0.000000    ,   525.5294    ,  -2.842468    ,
           1980,            126,  0.4710805    ,   6.689033    ,   66.48817    ,   3.339470    ,   63.01824    ,  0.1304693    ,  -67.31592    ,  0.3976161E-01,   1.840070    ,   1.356099    ,  0.9851121    ,  0.3206110    ,  0.5037599E-01,  0.2355426E-02,  0.5149039E-03,  0.2802797E-01,  0.2212514E-03,  0.7236217E-03,   17.37442    ,  0.2843939    ,   17.65882    ,   55.23116    ,  0.1789332E-02,   55.23294    ,   432.5778    ,   0.000000    ,   432.5778    ,   505.1833    ,  0.2861833    ,   505.4695    ,   17.41823    ,   0.000000    ,   522.9196    ,  -2.609741    ,
           1980,            127,   1.380459    ,   7.948780    ,   67.51239    ,   4.143693    ,   63.17854    ,  0.1901515    ,  -69.25812    ,  0.9093784    ,   1.259747    ,   1.024207    ,  0.8042229    ,  0.1603016    ,  0.5968217E-01,  0.2731241E-02,  0.2220289E-01,  0.2198540E-01,  0.1339186E-03,  0.2427349E-01,   17.08534    ,  0.7982828E-01,   17.16516    ,   54.50693    ,  0.7262891E-03,   54.50766    ,   429.5504    ,   0.000000    ,   429.5504    ,   501.1427    ,  0.8055457E-01,   501.2233    ,   19.73244    ,   0.000000    ,   521.0270    ,  -1.892578    ,
           1980,            128,   2.700784    ,   9.170522    ,   68.62563    ,   4.849198    ,   63.51824    ,  0.2581876    ,  -70.56274    ,   1.320325    ,   1.221743    ,   1.113239    ,  0.7055037    ,  0.3396989    ,  0.6803606E-01,  0.2157985E-01,  0.9125543E-01,  0.1973177    ,  0.4040029E-02,  0.1071896    ,   17.59342    ,  0.4241713E-03,   17.59384    ,   54.26590    ,  0.6826481E-03,   54.26658    ,   426.9552    ,   0.000000    ,   426.9552    ,   498.8145    ,  0.1106819E-02,   498.8156    ,   21.73034    ,   0.000000    ,   520.9673    , -0.5969238E-01,
           1980,            129,   2.947346    ,   11.33660    ,   69.85773    ,   5.833347    ,   63.69057    ,  0.3338071    ,  -71.74225    ,  0.2465624    ,   2.166074    ,   1.232095    ,  0.9841495    ,  0.1723255    ,  0.7561944E-01,  0.8432602E-02,  0.6354142E-02,  0.1955290    ,  0.3288548E-02,  0.5892247E-01,   17.06277    ,  0.6334189E-01,   17.12611    ,   53.73375    ,  0.5548212E-03,   53.73431    ,   424.6139    ,   0.000000    ,   424.6139    ,   495.4104    ,  0.6389671E-01,   495.4743    ,   23.48948    ,   0.000000    ,   519.2364    ,  -1.730957    ,
           1980,            130,   3.030583    ,   13.24201    ,   70.85764    ,   6.724740    ,   63.71657    ,  0.4163065    ,  -72.91772    ,  0.8323684E-01,   1.905417    ,  0.9999022    ,  0.8913926    ,  0.2601008E-01,  0.8249942E-01,  0.2109696E-02,  0.3471691E-03,  0.1652156    ,  0.1017310E-02,  0.5286002E-02,   16.14486    ,  0.1674160    ,   16.31228    ,   53.00823    ,  0.2662686E-03,   53.00850    ,   422.3666    ,   0.000000    ,   422.3666    ,   491.5197    ,  0.1676822    ,   491.6874    ,   25.04677    ,   0.000000    ,   516.9082    ,  -2.328186    ,
           1980,            131,   3.040081    ,   15.32091    ,   71.84850    ,   7.619856    ,   63.72357    ,  0.5050663    ,  -74.07642    ,  0.9498074E-02,   2.078902    ,  0.9908673    ,  0.8951165    ,  0.6991127E-02,  0.8875981E-01,  0.1281489E-02,  0.6008690E-04,  0.1220955    ,  0.4215825E-03,  0.1879227E-02,   14.98662    ,  0.6020988    ,   15.58871    ,   52.27665    ,  0.3532853E-03,   52.27701    ,   420.2815    ,   0.000000    ,   420.2815    ,   487.5447    ,  0.6024520    ,   488.1472    ,   26.43546    ,   0.000000    ,   514.7083    ,  -2.199951    ,
           1980,            132,   3.074931    ,   17.16372    ,   72.85051    ,   8.526368    ,   63.72459    ,  0.5995381    ,  -75.22705    ,  0.3485034E-01,   1.842801    ,   1.002010    ,  0.9065115    ,  0.1027180E-02,  0.9447183E-01,  0.2308501E-03,  0.1361180E-02,  0.8816568E-01,  0.4699099E-03,  0.3950489E-02,   14.30234    ,  0.5833722    ,   14.88571    ,   51.50648    ,  0.6538241E-03,   51.50714    ,   418.3028    ,   0.000000    ,   418.3028    ,   484.1116    ,  0.5840260    ,   484.6956    ,   27.68120    ,   0.000000    ,   512.4709    ,  -2.237305    ,
           1980,            133,   4.477821    ,   18.36505    ,   73.60213    ,   9.175927    ,   63.72695    ,  0.6992445    ,  -76.30005    ,   1.402889    ,   1.201330    ,  0.7516215    ,  0.6495602    ,  0.2354971E-02,  0.9970631E-01,  0.3149044E-02,  0.4625162E-01,  0.7120610E-01,  0.5736849E-03,  0.2195474E-01,   14.45571    ,  0.1096009    ,   14.56531    ,   50.99561    ,  0.4535940E-03,   50.99606    ,   416.5145    ,   0.000000    ,   416.5145    ,   481.9659    ,  0.1100545    ,   482.0759    ,   28.80639    ,   0.000000    ,   511.0254    ,  -1.445557    ,
           1980,            134,   4.736850    ,   20.28981    ,   74.76059    ,   10.21928    ,   63.73751    ,  0.8037984    ,  -77.24561    ,  0.2590299    ,   1.924757    ,   1.158458    ,   1.043349    ,  0.1055484E-01,  0.1045538    ,  0.3197717E-01,  0.2231004E-01,  0.1421019    ,  0.1146180E-02,  0.2149093E-01,   14.77527    ,  0.2199624E-01,   14.79727    ,   50.67437    ,  0.6750009E-03,   50.67503    ,   414.8786    ,   0.000000    ,   414.8786    ,   480.3283    ,  0.2267124E-01,   480.3510    ,   29.83541    ,   0.000000    ,   510.4054    , -0.6200256    ,
           1980,            135,   5.026289    ,   22.07707    ,   75.87167    ,   11.22082    ,   63.73800    ,  0.9128431    ,  -78.18390    ,  0.2894399    ,   1.787268    ,   1.111077    ,   1.001540    ,  0.4921171E-03,  0.1090447    ,  0.9084451E-02,  0.5562838E-02,  0.1433766    ,  0.6292884E-03,  0.5775766E-02,   14.11146    ,  0.6690176E-01,   14.17836    ,   50.21151    ,  0.6027661E-03,   50.21210    ,   413.2744    ,   0.000000    ,   413.2744    ,   477.5974    ,  0.6750453E-01,   477.6649    ,   30.77840    ,   0.000000    ,   508.6076    ,  -1.797729    ,
           1980,            136,   5.102410    ,   23.87957    ,   77.00712    ,   12.24303    ,   63.73801    ,   1.026048    ,  -79.12238    ,  0.7611974E-01,   1.802497    ,   1.135435    ,   1.022217    ,  0.1236942E-04,  0.1132051    ,  0.4965058E-02,  0.9115762E-03,  0.1145839    ,  0.4573293E-03,  0.2951619E-02,   13.40451    ,  0.8386630E-01,   13.48837    ,   49.77338    ,  0.5966816E-03,   49.77398    ,   411.7010    ,   0.000000    ,   411.7010    ,   474.8789    ,  0.8446298E-01,   474.9634    ,   31.64364    ,   0.000000    ,   506.7309    ,  -1.876770    ,
           1980,            137,   5.117098    ,   25.76016    ,   78.11216    ,   13.23103    ,   63.73801    ,   1.143104    ,  -80.07245    ,  0.1468793E-01,   1.880588    ,   1.105048    ,  0.9879909    ,  0.1247737E-05,  0.1170557    ,  0.1514945E-02,  0.5118853E-04,  0.7890885E-01,  0.2612723E-03,  0.3286403E-02,   12.53753    ,  0.2234157    ,   12.76094    ,   49.24569    ,  0.4751371E-03,   49.24617    ,   410.1506    ,   0.000000    ,   410.1506    ,   471.9338    ,  0.2238908    ,   472.1577    ,   32.43773    ,   0.000000    ,   504.6795    ,  -2.051392    ,
           1980,            138,   5.129032    ,   27.39745    ,   79.22466    ,   14.22290    ,   63.73801    ,   1.263723    ,  -81.02979    ,  0.1193457E-01,   1.637290    ,   1.112493    ,  0.9918737    ,  0.2490643E-06,  0.1206193    ,  0.4501761E-03,  0.4336845E-04,  0.5031121E-01,  0.1469166E-03,  0.4292250E-02,   11.97162    ,  0.1572954    ,   12.12891    ,   48.65991    ,  0.4612940E-03,   48.66037    ,   408.6529    ,   0.000000    ,   408.6529    ,   469.2844    ,  0.1577567    ,   469.4421    ,   33.16722    ,   0.000000    ,   502.6646    ,  -2.014923    ,
