EVAL  Pn
0001  1.000000E+00
0002  8.491558E-01
0003  7.609176E-01
0004  6.983116E-01
0005  6.497506E-01
0006  6.100734E-01
0007  5.765268E-01
0008  5.474674E-01
0009  5.218352E-01
0010  4.989064E-01
0011  4.781648E-01
0012  4.592292E-01
0013  4.418101E-01
0014  4.256826E-01
0015  4.106682E-01
0016  3.966232E-01
0017  3.834299E-01
0018  3.709910E-01
0019  3.592248E-01
0020  3.480622E-01
0021  3.374444E-01
0022  3.273206E-01
0023  3.176469E-01
0024  3.083850E-01
0025  2.995012E-01
0026  2.909659E-01
0027  2.827528E-01
0028  2.748384E-01
0029  2.672017E-01
0030  2.598240E-01
0031  2.526882E-01
0032  2.457790E-01
0033  2.390824E-01
0034  2.325857E-01
0035  2.262774E-01
0036  2.201468E-01
0037  2.141842E-01
0038  2.083806E-01
0039  2.027277E-01
0040  1.972180E-01
0041  1.918444E-01
0042  1.866002E-01
0043  1.814794E-01
0044  1.764764E-01
0045  1.715858E-01
0046  1.668027E-01
0047  1.621225E-01
0048  1.575408E-01
0049  1.530536E-01
0050  1.486570E-01
0051  1.443475E-01
0052  1.401217E-01
0053  1.359764E-01
0054  1.319086E-01
0055  1.279154E-01
0056  1.239942E-01
0057  1.201424E-01
0058  1.163575E-01
0059  1.126374E-01
0060  1.089798E-01
0061  1.053827E-01
0062  1.018440E-01
0063  9.836199E-02
0064  9.493480E-02
0065  9.156074E-02
0066  8.823820E-02
0067  8.496563E-02
0068  8.174153E-02
0069  7.856451E-02
0070  7.543320E-02
0071  7.234631E-02
0072  6.930260E-02
0073  6.630086E-02
0074  6.333997E-02
0075  6.041882E-02
0076  5.753637E-02
0077  5.469159E-02
0078  5.188353E-02
0079  4.911123E-02
0080  4.637381E-02
0081  4.367039E-02
0082  4.100015E-02
0083  3.836227E-02
0084  3.575599E-02
0085  3.318055E-02
0086  3.063523E-02
0087  2.811934E-02
0088  2.563220E-02
0089  2.317317E-02
0090  2.074161E-02
0091  1.833692E-02
0092  1.595851E-02
0093  1.360582E-02
0094  1.127828E-02
0095  8.975383E-03
0096  6.696595E-03
0097  4.441423E-03
0098  2.209381E-03
0099  0.000000E+00
