Run   obj.function   ___x1         
1     2.670173E+00  2.000000E-03  
2     2.670173E+00  9.981708E-02  
3     2.670173E+00  2.273462E-01  
4     2.670173E+00  1.963227E-01  
5     2.670173E+00  2.423293E-01  
6     2.670173E+00  1.211891E-01  
7     2.670173E+00  1.762805E-01  
8     2.670173E+00  2.053675E-01  
9     2.670173E+00  2.760816E-01  
10    2.670173E+00  2.346191E-01  
11    2.670173E+00  2.998810E-01  
12    2.670173E+00  4.980448E-01  
13    2.670173E+00  4.661888E-01  
14    2.670173E+00  4.273072E-01  
15    2.670173E+00  4.265894E-01  
16    2.670173E+00  4.574813E-01  
17    2.670173E+00  2.877672E-01  
18    2.670173E+00  2.027758E-01  
19    2.670173E+00  1.691907E-01  
20    2.670173E+00  2.648107E-01  
21    2.670173E+00  2.648107E-01  
