           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            123,   225.1019    ,   176.5031    ,  0.2071037    ,   263.8023    ,   335.5083    ,   3.966949    ,   54.50044    ,   37.70219    ,   13.11825    ,   1.234222    ,   3.182861    ,   8.048648    ,  -2.682098    , -0.3051758E-04,   3.602844    ,   2.221405    ,  0.8758545    ,  0.4804851E-02,  0.9168441    ,   80019.95    ,
           1980,            124,   250.4216    ,   196.1895    ,  0.2085759    ,   256.4375    ,   331.5204    ,   3.081909    ,   67.53944    ,   47.72542    ,   5.320396    ,  -1.059265    ,   2.179199    ,   8.095719    ,  -2.356232    ,  0.6103516E-04,   3.642334    ,   3.243225    ,  0.8957520    ,  0.3776657E-02,  0.8807753    ,   80468.02    ,
           1980,            125,   285.7429    ,   223.7317    ,  0.2081659    ,   240.7458    ,   332.3855    ,   3.070190    ,   67.12487    ,   54.89050    ,   8.522141    , -0.2387695    ,   2.337524    ,   8.092792    ,  -3.847198    , -0.6103516E-04,   3.491974    ,   3.207397    ,  0.9218445    ,  0.3895592E-02,  0.8503599    ,   80651.77    ,
           1980,            126,   282.5090    ,   220.8754    ,  0.2084081    ,   255.9874    ,   339.2988    ,   4.566284    ,   70.75486    ,   53.24286    ,   12.43562    ,  0.6979675    ,   3.721893    ,   8.076617    ,  -2.567017    ,  0.6103516E-04,   4.353882    ,   3.438812    ,  0.9462891    ,  0.4601887E-02,  0.8458657    ,   80552.81    ,
           1980,            127,   198.3222    ,   154.9726    ,  0.2087571    ,   281.9254    ,   337.0446    ,   4.310791    ,   55.12136    ,   36.45179    ,   7.322800    ,  0.5384216    ,   3.281250    ,   8.059570    ,  -1.337372    ,  0.6103516E-04,   4.448120    ,   3.904480    ,  0.9749451    ,  0.4672823E-02,  0.8499740    ,   80079.95    ,
           1980,            128,   163.4599    ,   126.9792    ,  0.2158072    ,   303.4829    ,   339.0577    ,   4.853943    ,   48.12772    ,   35.37589    ,   6.563381    ,  0.6113281    ,   3.623108    ,   8.064406    , -0.1240234    ,  0.6103516E-04,   4.788086    ,   4.085022    ,   1.007599    ,  0.4810546E-02,  0.8614801    ,   80248.41    ,
           1980,            129,   303.0010    ,   235.6493    ,  0.2134121    ,   249.8300    ,   343.4802    ,   5.415100    ,   74.48891    ,   62.69502    ,   4.646129    ,  0.6848145    ,   4.281921    ,   8.035741    ,  -1.288727    ,  0.6103516E-04,   4.650696    ,   3.679932    ,   1.040527    ,  0.4659355E-02,  0.8618991    ,   79531.16    ,
           1980,            130,   288.5083    ,   224.6257    ,  0.2125975    ,   246.8130    ,   337.7226    ,   4.124207    ,   72.26508    ,   55.17259    ,   5.997673    ,  0.6143799    ,   3.162201    ,   8.024847    ,  -2.110901    ,  0.6103516E-04,   4.302551    ,   3.775269    ,   1.069366    ,  0.4449881E-02,  0.8762753    ,   79223.30    ,
           1980,            131,   340.7330    ,   265.5872    ,  0.2112602    ,   217.5052    ,   336.6230    ,   3.718048    ,   78.84559    ,   60.20050    ,   6.432919    , -0.2852173    ,   2.539795    ,   8.062217    ,  -3.090515    , -0.3051758E-04,   4.163391    ,   3.737366    ,   1.098633    ,  0.3859291E-02,  0.8575354    ,   79870.82    ,
           1980,            132,   313.9026    ,   244.6324    ,  0.2107524    ,   240.7357    ,   342.6994    ,   5.014191    ,   75.20423    ,   53.34929    ,   12.15540    ,  0.6384277    ,   3.504578    ,   8.050957    ,  -2.472473    , -0.6103516E-04,   4.722473    ,   3.823914    ,   1.126648    ,  0.4329518E-02,  0.8525344    ,   79878.84    ,
           1980,            133,   207.6824    ,   161.8339    ,  0.2110253    ,   276.5839    ,   339.4533    ,   4.743958    ,   57.40279    ,   34.85965    ,   6.761463    ,  0.3413696    ,   3.089142    ,   8.052896    , -0.9989929    ,  0.3051758E-04,   4.846741    ,   4.241272    ,   1.156616    ,  0.4544577E-02,  0.8492506    ,   79857.90    ,
           1980,            134,   298.5681    ,   232.2925    ,  0.2143531    ,   255.1094    ,   348.3016    ,   6.381012    ,   72.47354    ,   56.07021    ,   10.92627    ,  0.9738770    ,   4.912659    ,   8.046151    , -0.7925720    ,  0.6103516E-04,   5.745819    ,   4.443115    ,   1.190308    ,  0.4751186E-02,  0.8567759    ,   79882.04    ,
           1980,            135,   306.9947    ,   238.6202    ,  0.2147978    ,   252.8954    ,   348.6496    ,   6.324890    ,   82.15249    ,   51.75085    ,   7.249660    ,  0.9738159    ,   4.559662    ,   8.046866    ,  -1.139801    ,   0.000000    ,   5.588989    ,   4.574005    ,   1.226593    ,  0.4736721E-02,  0.8596070    ,   79898.65    ,
           1980,            136,   332.5769    ,   258.8644    ,  0.2134808    ,   241.7611    ,   350.9700    ,   6.572632    ,   85.42605    ,   52.21775    ,   10.35424    ,   1.509888    ,   4.759644    ,   8.039402    ,  -1.665436    ,  0.6103516E-04,   5.902405    ,   4.700226    ,   1.262634    ,  0.4910144E-02,  0.8591313    ,   79873.45    ,
           1980,            137,   348.1897    ,   271.3485    ,  0.2122664    ,   227.4847    ,   350.9209    ,   6.400177    ,   83.00455    ,   54.43259    ,   9.061645    ,   1.599792    ,   4.386871    ,   8.051721    ,  -2.100342    ,   0.000000    ,   5.973755    ,   4.936646    ,   1.300323    ,  0.4229872E-02,  0.8506368    ,   80177.09    ,
           1980,            138,   325.9707    ,   254.0621    ,  0.2117081    ,   244.7086    ,   354.7786    ,   7.328217    ,   81.51092    ,   47.38050    ,   13.45064    ,   2.154053    ,   5.049225    ,   8.053405    ,  -1.745544    , -0.3051758E-04,   6.592896    ,   5.234772    ,   1.339233    ,  0.4468393E-02,  0.8324540    ,   80402.88    ,
           1980,            139,   261.4090    ,   204.0918    ,  0.2117466    ,   265.9632    ,   352.9437    ,   7.316986    ,   73.46218    ,   33.24298    ,   9.806413    ,   1.674835    ,   5.060547    ,   8.049031    , -0.7498779    ,  0.6103516E-04,   6.975464    ,   5.838074    ,   1.382446    ,  0.4687540E-02,  0.8594201    ,   80164.04    ,
           1980,            140,   327.5482    ,   255.1495    ,  0.2124245    ,   243.3963    ,   352.3592    ,   7.115479    ,   90.36187    ,   44.12386    ,   10.40904    ,   1.163147    ,   4.342041    ,   8.029039    ,  -1.253967    ,   0.000000    ,   6.976685    ,   5.927002    ,   1.430542    ,  0.3934103E-02,   1.146428    ,   79475.99    ,
           1980,            141,   271.2156    ,   208.6816    ,  0.2226093    ,   254.8574    ,   347.3410    ,   6.134888    ,   69.48917    ,   42.20098    ,   3.785535    ,   1.567078    ,   3.486908    ,   8.018924    , -0.9864197    ,   0.000000    ,   6.293091    ,   5.809753    ,   1.480011    ,  0.4414921E-02,   1.021720    ,   79370.42    ,
           1980,            142,   257.1263    ,   192.8881    ,  0.2428385    ,   264.7498    ,   344.5669    ,   5.710449    ,   64.91381    ,   40.39250    ,   4.951478    ,   2.014282    ,   3.659119    ,   8.009259    , -0.6447754    ,  0.6103516E-04,   6.131348    ,   5.598572    ,   1.526062    ,  0.4659214E-02,   1.031071    ,   79311.38    ,
           1980,            143,   210.2341    ,   159.5287    ,  0.2348816    ,   283.8253    ,   344.4998    ,   5.825012    ,   56.09175    ,   36.21688    ,   3.680269    ,   1.325134    ,   3.920441    ,   8.015347    , -0.3674316    ,  0.6103516E-04,   5.957397    ,   5.436218    ,   1.569794    ,  0.4782400E-02,  0.8669119    ,   79268.59    ,
           1980,            144,   101.3765    ,   75.01019    ,  0.2525996    ,   301.3677    ,   326.8012    ,   2.323547    ,   25.17049    ,   23.77999    ,  -6.536163    ,  0.9222412E-01,  0.4476929    ,   8.033623    , -0.2994995    ,  0.6103516E-04,   4.032745    ,   4.892426    ,   1.611389    ,  0.4672370E-02,  0.8762812    ,   79387.95    ,
           1980,            145,   156.8908    ,   104.7108    ,  0.3278376    ,   303.6848    ,   326.7525    ,   2.350922    ,   35.08799    ,   28.98582    ,  -1.160444    ,  0.4711914E-01,   1.081940    ,   8.029653    , -0.5703735E-01,   0.000000    ,   3.598389    ,   3.887909    ,   1.643463    ,  0.4516140E-02,  0.8875683    ,   79495.89    ,
           1980,            146,   175.0227    ,   127.5364    ,  0.2664554    ,   299.2246    ,   334.2176    ,   3.836121    ,   46.68382    ,   35.21587    ,   3.692137    ,  0.2433167    ,   3.089386    ,   8.039035    , -0.4779053E-01,  0.6103516E-04,   3.875366    ,   3.431000    ,   1.666260    ,  0.4561985E-02,  0.8911355    ,   79720.09    ,
           1980,            147,   183.5004    ,   133.4169    ,  0.2673148    ,   302.7513    ,   335.0224    ,   4.025757    ,   46.96646    ,   40.59277    ,   4.234948    ,  0.4340820    ,   2.797913    ,   8.029752    , -0.3503418E-01,   0.000000    ,   3.950195    ,   3.416687    ,   1.685486    ,  0.4553722E-02,  0.8952584    ,   79513.46    ,
           1980,            148,   127.5019    ,   87.09158    ,  0.2999344    ,   300.7892    ,   322.4455    ,   1.439087    ,   28.12265    ,   24.60062    ,  -1.377375    , -0.3905640    ,  0.2510376    ,   8.034115    , -0.1108398    ,  0.6103516E-04,   2.896606    ,   3.359619    ,   1.704712    ,  0.4357601E-02,  0.8983248    ,   79459.68    ,
           1980,            149,   164.7296    ,   116.2437    ,  0.2871199    ,   302.5256    ,   331.0257    ,   3.218201    ,   35.13869    ,   38.38041    ,   2.931115    ,  0.7015076    ,   2.156738    ,   8.032340    , -0.1376343E-01,  0.6103516E-04,   3.308228    ,   2.906677    ,   1.721130    ,  0.4726822E-02,  0.8862632    ,   79787.02    ,
           1980,            150,   261.1017    ,   186.9112    ,  0.2775058    ,   271.6175    ,   334.3824    ,   3.754150    ,   58.58191    ,   50.95738    ,   4.400776    ,  0.6735229    ,   3.266846    ,   8.045757    , -0.1291504    ,  0.6103516E-04,   3.691650    ,   2.926361    ,   1.734161    ,  0.4415352E-02,  0.8689075    ,   80065.40    ,
