           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,            123,  0.3107182    ,   1.298998    ,   69.71519    ,  0.6101958    ,   69.09711    ,  0.7852279E-02,  -63.79132    ,  0.3107182    ,   1.298998    ,   69.71519    ,  0.6101958    ,   69.09711    ,  0.7852279E-02,  0.1126310E-01,  0.5323478E-02,  0.2672439E-01,  0.3201268E-03,  0.3829433E-02,   19.26206    ,  0.2889825    ,   19.55104    ,   58.88367    ,  0.1035430E-01,   58.89403    ,   451.3906    ,   0.000000    ,   451.3906    ,   529.5363    ,  0.2993369    ,   529.8357    ,   4.379366    ,   0.000000    ,   534.2623    ,  -63.79132    ,
           1980,            124,  0.4212433    ,   2.946926    ,   71.69058    ,   1.481907    ,   70.18266    ,  0.2600888E-01,  -70.89966    ,  0.1105250    ,   1.647928    ,   1.975405    ,  0.8717116    ,   1.085537    ,  0.1815660E-01,  0.2614947E-01,  0.6026485E-02,  0.6356054E-01,  0.7551221E-03,  0.3125892E-02,   18.00514    ,  0.1913601    ,   18.19651    ,   57.14583    ,  0.1189953E-03,   57.14595    ,   436.3638    ,   0.000000    ,   436.3638    ,   511.5147    ,  0.1914791    ,   511.7062    ,   8.239769    ,   0.000000    ,   520.0455    ,  -14.21686    ,
           1980,            125,  0.4313188    ,   4.843007    ,   72.97070    ,   2.354478    ,   70.56291    ,  0.5331925E-01,  -74.15161    ,  0.1007556E-01,   1.896081    ,   1.280134    ,  0.8725704    ,  0.3802530    ,  0.2731037E-01,  0.1080655E-03,  0.1368501E-03,  0.4261020E-01,  0.4386222E-03,  0.6490091E-03,   16.94170    ,  0.8250244    ,   17.76672    ,   55.69990    ,  0.2604390E-02,   55.70250    ,   432.7567    ,   0.000000    ,   432.7567    ,   505.3983    ,  0.8276288    ,   506.2260    ,   11.12792    ,   0.000000    ,   517.3979    ,  -2.647522    ,
           1980,            126,  0.4710805    ,   6.682231    ,   74.08902    ,   3.339598    ,   70.66053    ,  0.8888710E-01,  -76.37891    ,  0.3976161E-01,   1.839223    ,   1.118312    ,  0.9851196    ,  0.9762478E-01,  0.3556783E-01,  0.2363322E-02,  0.5106127E-03,  0.2816731E-01,  0.2260785E-03,  0.7236217E-03,   16.91103    ,  0.2925314    ,   17.20357    ,   54.61221    ,  0.1789332E-02,   54.61400    ,   429.6299    ,   0.000000    ,   429.6299    ,   501.1531    ,  0.2943208    ,   501.4474    ,   13.51359    ,   0.000000    ,   514.9930    ,  -2.404907    ,
           1980,            127,   1.380459    ,   7.941395    ,   74.98759    ,   4.143822    ,   70.71183    ,  0.1319247    ,  -78.05157    ,  0.9093784    ,   1.259165    ,  0.8985577    ,  0.8042235    ,  0.5129655E-01,  0.4303764E-01,  0.2737043E-02,  0.2220419E-01,  0.2209602E-01,  0.1365879E-03,  0.2427349E-01,   16.77211    ,  0.8190274E-01,   16.85401    ,   53.90987    ,  0.7262891E-03,   53.91059    ,   426.9286    ,   0.000000    ,   426.9286    ,   497.6106    ,  0.8262903E-01,   497.6932    ,   15.54724    ,   0.000000    ,   513.3120    ,  -1.681091    ,
           1980,            128,   2.700784    ,   9.163083    ,   76.13184    ,   4.849328    ,   71.10071    ,  0.1817963    ,  -79.17352    ,   1.320325    ,   1.221688    ,   1.144255    ,  0.7055053    ,  0.3888780    ,  0.4987155E-01,  0.2159647E-01,  0.9126098E-01,  0.1974179    ,  0.4057111E-02,  0.1071896    ,   17.24675    ,  0.4241713E-03,   17.24717    ,   53.68484    ,  0.6826481E-03,   53.68551    ,   424.5886    ,   0.000000    ,   424.5886    ,   495.5202    ,  0.1106819E-02,   495.5213    ,   17.32768    ,   0.000000    ,   513.2704    , -0.4150391E-01,
           1980,            129,   2.947346    ,   11.32881    ,   77.26550    ,   5.833504    ,   71.19401    ,  0.2379707    ,  -80.21094    ,  0.2465624    ,   2.165725    ,   1.133655    ,  0.9841778    ,  0.9330257E-01,  0.5617444E-01,  0.8433685E-02,  0.6352847E-02,  0.1956301    ,  0.3287457E-02,  0.5892247E-01,   16.74201    ,  0.6465016E-01,   16.80665    ,   53.17422    ,  0.5548212E-03,   53.17476    ,   422.4512    ,   0.000000    ,   422.4512    ,   492.3674    ,  0.6520498E-01,   492.4326    ,   18.91410    ,   0.000000    ,   511.6195    ,  -1.650970    ,
           1980,            130,   3.030583    ,   13.23477    ,   78.22072    ,   6.724897    ,   71.19587    ,  0.2999428    ,  -81.26929    ,  0.8323684E-01,   1.905965    ,  0.9552265    ,  0.8913930    ,  0.1861394E-02,  0.6197209E-01,  0.2109647E-02,  0.3471435E-03,  0.1652878    ,  0.1011289E-02,  0.5286002E-02,   15.85668    ,  0.1693962    ,   16.02607    ,   52.47059    ,  0.2662686E-03,   52.47087    ,   420.3733    ,   0.000000    ,   420.3733    ,   488.7005    ,  0.1696625    ,   488.8702    ,   20.33322    ,   0.000000    ,   509.3774    ,  -2.242065    ,
           1980,            131,   3.040081    ,   15.31421    ,   79.18374    ,   7.619985    ,   71.19650    ,  0.3672551    ,  -82.33209    ,  0.9498074E-02,   2.079431    ,  0.9630286    ,  0.8950872    ,  0.6291282E-03,  0.6731232E-01,  0.1281878E-02,  0.5998592E-04,  0.1221525    ,  0.4295645E-03,  0.1879227E-02,   14.68673    ,  0.6066982    ,   15.29343    ,   51.75769    ,  0.3532853E-03,   51.75805    ,   418.4322    ,   0.000000    ,   418.4322    ,   484.8766    ,  0.6070515    ,   485.4836    ,   21.61058    ,   0.000000    ,   507.2200    ,  -2.157410    ,
           1980,            132,   3.074931    ,   17.15707    ,   80.16267    ,   8.526524    ,   71.19666    ,  0.4394936    ,  -83.40234    ,  0.3485034E-01,   1.842867    ,  0.9789351    ,  0.9065397    ,  0.1570284E-03,  0.7223853E-01,  0.2309066E-03,  0.1361631E-02,  0.8823008E-01,  0.4729812E-03,  0.3950489E-02,   13.98692    ,  0.5875266    ,   14.57445    ,   51.00455    ,  0.6538241E-03,   51.00521    ,   416.5785    ,   0.000000    ,   416.5785    ,   481.5699    ,  0.5881804    ,   482.1581    ,   22.76622    ,   0.000000    ,   505.0186    ,  -2.201416    ,
