           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            123,   225.1019    ,   178.6263    ,  0.1991567    ,   263.8023    ,   335.8038    ,   4.026886    ,   52.17263    ,   39.03559    ,   15.93559    ,   1.234222    ,   3.049713    ,   8.048648    ,  -2.720856    , -0.3051758E-04,   3.916748    ,   2.323303    ,  0.8757629    ,  0.4804851E-02,  0.9168441    ,   80019.95    ,
           1980,            124,   250.4216    ,   197.9912    ,  0.2022172    ,   256.4375    ,   331.9868    ,   3.186401    ,   65.73733    ,   50.29523    ,   5.926329    ,  -1.059265    ,   2.170319    ,   8.095719    ,  -2.483246    ,  0.6103516E-04,   3.961761    ,   3.488098    ,  0.8975830    ,  0.3776657E-02,  0.8807753    ,   80468.02    ,
           1980,            125,   285.7429    ,   225.2256    ,  0.2042107    ,   240.7458    ,   332.9427    ,   3.190491    ,   65.75492    ,   56.36862    ,   9.363438    , -0.2387695    ,   2.356567    ,   8.092792    ,  -3.933716    , -0.6103516E-04,   3.842346    ,   3.477600    ,  0.9263611    ,  0.3895592E-02,  0.8503599    ,   80651.77    ,
           1980,            126,   282.5090    ,   222.2064    ,  0.2045652    ,   255.9874    ,   339.8620    ,   4.687744    ,   69.64906    ,   54.65135    ,   12.91093    ,  0.6979675    ,   3.759857    ,   8.076617    ,  -2.623047    ,  0.6103516E-04,   4.724060    ,   3.777313    ,  0.9542542    ,  0.4601887E-02,  0.8458657    ,   80552.81    ,
           1980,            127,   198.3222    ,   155.6323    ,  0.2059360    ,   281.9254    ,   337.4822    ,   4.405853    ,   54.64998    ,   37.65830    ,   6.823872    ,  0.5384216    ,   3.343811    ,   8.059570    ,  -1.394867    ,  0.6103516E-04,   4.725281    ,   4.217407    ,  0.9866333    ,  0.4672823E-02,  0.8499740    ,   80079.95    ,
           1980,            128,   163.4599    ,   127.7433    ,  0.2115822    ,   303.4829    ,   339.2585    ,   4.895996    ,   47.62574    ,   36.73299    ,   6.245106    ,  0.6113281    ,   3.585876    ,   8.064406    , -0.1242676    ,  0.6103516E-04,   4.986115    ,   4.309113    ,   1.022400    ,  0.4810546E-02,  0.8614801    ,   80248.41    ,
           1980,            129,   303.0010    ,   236.6513    ,  0.2104583    ,   249.8300    ,   343.8351    ,   5.492310    ,   73.71566    ,   63.97333    ,   4.751709    ,  0.6848145    ,   4.294830    ,   8.035741    ,  -1.288513    ,  0.6103516E-04,   4.854126    ,   3.861450    ,   1.057495    ,  0.4659355E-02,  0.8618991    ,   79531.16    ,
           1980,            130,   288.5083    ,   225.2006    ,  0.2108604    ,   246.8130    ,   338.0700    ,   4.206818    ,   71.71364    ,   55.58644    ,   6.334486    ,  0.6143799    ,   3.236603    ,   8.024847    ,  -2.112915    ,  0.6103516E-04,   4.493469    ,   3.958496    ,   1.088043    ,  0.4449881E-02,  0.8762753    ,   79223.30    ,
           1980,            131,   340.7330    ,   265.8983    ,  0.2105805    ,   217.5052    ,   336.9834    ,   3.802521    ,   78.61321    ,   60.44243    ,   6.366545    , -0.2852173    ,   2.624756    ,   8.062217    ,  -3.087433    , -0.3051758E-04,   4.321503    ,   3.902161    ,   1.119171    ,  0.3859291E-02,  0.8575354    ,   79870.82    ,
           1980,            132,   313.9026    ,   244.7695    ,  0.2104361    ,   240.7357    ,   342.9558    ,   5.077209    ,   75.11292    ,   53.40581    ,   12.10027    ,  0.6384277    ,   3.596344    ,   8.050957    ,  -2.497223    , -0.6103516E-04,   4.838562    ,   3.963837    ,   1.148712    ,  0.4329518E-02,  0.8525344    ,   79878.84    ,
