           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,            123,  0.3107182    ,   1.344940    ,   43.36071    ,  0.6102517    ,   42.73121    ,  0.1925434E-01,  -38.83490    ,  0.3107182    ,   1.344940    ,   43.36071    ,  0.6102517    ,   42.73121    ,  0.1925434E-01,  0.1112849E-01,  0.5440870E-02,  0.2640280E-01,  0.3189394E-03,  0.3829433E-02,   21.02613    ,  0.2797298    ,   21.30586    ,   59.38955    ,  0.1042518E-01,   59.39998    ,   470.2031    ,   0.000000    ,   470.2031    ,   550.6188    ,  0.2901550    ,   550.9089    ,   8.262549    ,   0.000000    ,   559.2188    ,  -38.83490    ,
           1980,            124,  0.4212433    ,   3.081615    ,   45.27919    ,   1.481532    ,   43.72768    ,  0.6997789E-01,  -44.67102    ,  0.1105250    ,   1.736676    ,   1.918481    ,  0.8712804    ,  0.9964771    ,  0.5072355E-01,  0.2561946E-01,  0.6024515E-02,  0.6184960E-01,  0.7371236E-03,  0.3125892E-02,   20.11006    ,  0.1683196    ,   20.27838    ,   58.64264    ,  0.1189953E-03,   58.64276    ,   451.1333    ,   0.000000    ,   451.1333    ,   529.8860    ,  0.1684386    ,   530.0544    ,   17.39478    ,   0.000000    ,   547.5464    ,  -11.67230    ,
           1980,            125,  0.4313188    ,   5.028759    ,   46.59651    ,   2.354105    ,   44.09860    ,  0.1438062    ,  -47.63385    ,  0.1007556E-01,   1.947145    ,   1.317322    ,  0.8725730    ,  0.3709206    ,  0.7382827E-01,  0.1058231E-03,  0.1384404E-03,  0.4137051E-01,  0.4259831E-03,  0.6490091E-03,   18.89982    ,  0.7016962    ,   19.60152    ,   57.76505    ,  0.2604390E-02,   57.76765    ,   444.1319    ,   0.000000    ,   444.1319    ,   520.7968    ,  0.7043006    ,   521.5011    ,   22.95027    ,   0.000000    ,   544.4942    ,  -3.052246    ,
           1980,            126,  0.4710805    ,   6.916626    ,   47.90871    ,   3.339223    ,   44.33381    ,  0.2356734    ,  -49.79120    ,  0.3976161E-01,   1.887868    ,   1.312198    ,  0.9851186    ,  0.2352126    ,  0.9186721E-01,  0.2299942E-02,  0.5359007E-03,  0.2716943E-01,  0.1965209E-03,  0.7236217E-03,   18.72342    ,  0.2448929    ,   18.96831    ,   56.85746    ,  0.1789332E-02,   56.85925    ,   438.9711    ,   0.000000    ,   438.9711    ,   514.5519    ,  0.2466822    ,   514.7986    ,   26.96184    ,   0.000000    ,   541.7914    ,  -2.702820    ,
           1980,            127,   1.380459    ,   8.217472    ,   48.90201    ,   4.143468    ,   44.41621    ,  0.3423121    ,  -51.48419    ,  0.9093784    ,   1.300846    ,  0.9932855    ,  0.8042448    ,  0.8240201E-01,  0.1066387    ,  0.2674558E-02,  0.2222417E-01,  0.2125023E-01,  0.1318642E-03,  0.2427349E-01,   18.44319    ,  0.7000860E-01,   18.51320    ,   56.17868    ,  0.7262891E-03,   56.17941    ,   434.9402    ,   0.000000    ,   434.9402    ,   509.5620    ,  0.7073489E-01,   509.6328    ,   30.09397    ,   0.000000    ,   539.7972    ,  -1.994202    ,
           1980,            128,   2.700784    ,   9.486037    ,   49.91182    ,   4.848994    ,   44.60125    ,  0.4615501    ,  -52.62592    ,   1.320325    ,   1.268566    ,   1.009804    ,  0.7055261    ,  0.1850403    ,  0.1192381    ,  0.2135272E-01,  0.9124076E-01,  0.1963207    ,  0.4085636E-02,  0.1071896    ,   18.97448    ,  0.4241713E-03,   18.97490    ,   55.91589    ,  0.6826481E-03,   55.91656    ,   431.7292    ,   0.000000    ,   431.7292    ,   506.6196    ,  0.1106819E-02,   506.6207    ,   32.67769    ,   0.000000    ,   539.7184    , -0.7873535E-01,
           1980,            129,   2.947346    ,   11.69591    ,   51.12551    ,   5.833124    ,   44.70055    ,  0.5918138    ,  -53.69104    ,  0.2465624    ,   2.209879    ,   1.213693    ,  0.9841304    ,  0.9929886E-01,  0.1302636    ,  0.8382917E-02,  0.6415397E-02,  0.1936802    ,  0.3277460E-02,  0.5892247E-01,   18.44910    ,  0.5557311E-01,   18.50467    ,   55.38078    ,  0.5548212E-03,   55.38133    ,   428.9331    ,   0.000000    ,   428.9331    ,   502.7630    ,  0.5612793E-01,   502.8192    ,   34.88211    ,   0.000000    ,   537.9720    ,  -1.746460    ,
           1980,            130,   3.030583    ,   13.61617    ,   52.18657    ,   6.724432    ,   44.73032    ,  0.7317799    ,  -54.79150    ,  0.8323684E-01,   1.920260    ,   1.061052    ,  0.8913091    ,  0.2977706E-01,  0.1399660    ,  0.2110083E-02,  0.3473544E-03,  0.1634113    ,  0.1089685E-02,  0.5286002E-02,   17.51601    ,  0.1495141    ,   17.66552    ,   54.60850    ,  0.2662686E-03,   54.60877    ,   426.3282    ,   0.000000    ,   426.3282    ,   498.4527    ,  0.1497804    ,   498.6025    ,   36.78381    ,   0.000000    ,   535.5585    ,  -2.413452    ,
           1980,            131,   3.040081    ,   15.70396    ,   53.25090    ,   7.619514    ,   44.75101    ,  0.8803461    ,  -55.90387    ,  0.9498074E-02,   2.087790    ,   1.064338    ,  0.8950816    ,  0.2069053E-01,  0.1485661    ,  0.1277775E-02,  0.6250919E-04,  0.1208517    ,  0.4285160E-03,  0.1879227E-02,   16.34019    ,  0.5418041    ,   16.88200    ,   53.85861    ,  0.3532853E-03,   53.85896    ,   423.9427    ,   0.000000    ,   423.9427    ,   494.1415    ,  0.5421574    ,   494.6837    ,   38.44264    ,   0.000000    ,   533.2509    ,  -2.307678    ,
           1980,            132,   3.074931    ,   17.54878    ,   54.33051    ,   8.525914    ,   44.76800    ,   1.036573    ,  -57.02759    ,  0.3485034E-01,   1.844819    ,   1.079608    ,  0.9064004    ,  0.1698021E-01,  0.1562272    ,  0.2293508E-03,  0.1361443E-02,  0.8725361E-01,  0.4643564E-03,  0.3950489E-02,   15.60437    ,  0.5358022    ,   16.14017    ,   53.07112    ,  0.6538241E-03,   53.07178    ,   421.7052    ,   0.000000    ,   421.7052    ,   490.3807    ,  0.5364560    ,   490.9171    ,   39.90100    ,   0.000000    ,   530.9113    ,  -2.339539    ,
