Run   obj.function   ___x1         
1     2.670173E+00  3.259430E-01  
2     2.670173E+00  3.066129E-01  
3     2.670173E+00  2.884004E-01  
4     2.670173E+00  3.741924E-01  
5     2.670173E+00  3.074412E-01  
6     2.670173E+00  4.402038E-01  
7     2.670173E+00  4.634051E-01  
8     2.670173E+00  3.985442E-01  
9     2.670173E+00  3.855969E-01  
10    2.670173E+00  3.907078E-01  
11    2.670173E+00  4.840982E-01  
12    2.670173E+00  4.810867E-01  
13    2.670173E+00  4.288217E-01  
14    2.670173E+00  3.665870E-01  
15    2.670173E+00  2.735282E-01  
16    2.670173E+00  2.540776E-01  
17    2.670173E+00  2.227702E-01  
18    2.670173E+00  2.784087E-01  
19    2.670173E+00  4.525797E-02  
20    2.670173E+00  5.724296E-02  
21    2.670173E+00  5.724296E-02  
