Run   obj.function   ___x1         
1     -7.086804E+00  3.803622E-01  
2     -7.086804E+00  4.664080E-01  
3     -7.086804E+00  3.736331E-01  
4     -7.086804E+00  4.458500E-01  
5     -7.086804E+00  4.823834E-01  
6     -7.086804E+00  2.883609E-01  
7     -7.086804E+00  1.825465E-01  
8     -7.086804E+00  2.966106E-01  
9     -7.086804E+00  3.682229E-01  
10    -7.086804E+00  1.671041E-01  
11    -7.086804E+00  1.294752E-01  
12    -7.086804E+00  3.077333E-01  
13    -7.086804E+00  2.752661E-01  
14    -7.086804E+00  4.287326E-01  
15    -7.086804E+00  4.479827E-01  
16    -7.086804E+00  4.971798E-01  
17    -7.086804E+00  4.288367E-01  
18    -7.086804E+00  4.766796E-01  
19    -7.086804E+00  4.415530E-01  
20    -7.086804E+00  4.020860E-01  
21    -7.086804E+00  4.442641E-01  
22    -7.086804E+00  4.600906E-01  
23    -7.086804E+00  4.102469E-01  
24    -7.086804E+00  3.652813E-01  
25    -7.086804E+00  2.552327E-01  
26    -7.086804E+00  2.505243E-01  
27    -7.086804E+00  3.350706E-01  
28    -7.086804E+00  4.846678E-01  
29    -7.086804E+00  3.134234E-01  
30    -7.086804E+00  4.787012E-01  
31    -7.086804E+00  4.291368E-01  
32    -7.086804E+00  4.423432E-01  
33    -7.086804E+00  3.340519E-01  
34    -7.086804E+00  3.557759E-01  
35    -7.086804E+00  3.501900E-01  
36    -7.086804E+00  4.403585E-01  
37    -7.086804E+00  4.293235E-01  
38    -7.086804E+00  3.638052E-01  
39    -7.086804E+00  2.858897E-01  
40    -7.086804E+00  7.746960E-02  
41    -7.086804E+00  1.395255E-01  
42    -7.086804E+00  1.605547E-01  
43    -7.086804E+00  1.406498E-01  
44    -7.086804E+00  3.375620E-02  
45    -7.086804E+00  8.821716E-02  
46    -7.086804E+00  3.371101E-02  
47    -7.086804E+00  2.370081E-03  
48    -7.086804E+00  9.055489E-02  
49    -7.086804E+00  3.140784E-01  
50    -7.086804E+00  5.892256E-02  
51    -7.086804E+00  6.315850E-02  
52    -7.086804E+00  1.295147E-02  
53    -7.086804E+00  1.276835E-01  
54    -7.086804E+00  1.854034E-01  
55    -7.086804E+00  4.254249E-01  
56    -7.086804E+00  4.280546E-01  
57    -7.086804E+00  3.245752E-01  
58    -7.086804E+00  3.454544E-01  
59    -7.086804E+00  2.964015E-01  
60    -7.086804E+00  2.936766E-01  
61    -7.086804E+00  2.482097E-01  
62    -7.086804E+00  4.804230E-01  
63    -7.086804E+00  2.366148E-01  
64    -7.086804E+00  3.165083E-01  
65    -7.086804E+00  4.074883E-01  
66    -7.086804E+00  4.286211E-01  
67    -7.086804E+00  4.472957E-01  
68    -7.086804E+00  3.593912E-01  
69    -7.086804E+00  2.920388E-01  
70    -7.086804E+00  2.548928E-01  
71    -7.086804E+00  2.587049E-01  
72    -7.086804E+00  3.632554E-01  
73    -7.086804E+00  2.943386E-01  
74    -7.086804E+00  2.686253E-01  
75    -7.086804E+00  1.834250E-01  
76    -7.086804E+00  3.262914E-01  
77    -7.086804E+00  4.103114E-01  
78    -7.086804E+00  3.595364E-01  
79    -7.086804E+00  4.338256E-01  
80    -7.086804E+00  3.942716E-01  
81    -7.086804E+00  3.878488E-01  
82    -7.086804E+00  3.888996E-01  
83    -7.086804E+00  4.656816E-01  
84    -7.086804E+00  4.507636E-01  
85    -7.086804E+00  2.920817E-01  
86    -7.086804E+00  4.893635E-01  
87    -7.086804E+00  3.499081E-01  
88    -7.086804E+00  2.721783E-01  
89    -7.086804E+00  2.658233E-01  
90    -7.086804E+00  3.398978E-01  
91    -7.086804E+00  2.946448E-01  
92    -7.086804E+00  1.881715E-01  
93    -7.086804E+00  3.086635E-01  
94    -7.086804E+00  3.362020E-01  
95    -7.086804E+00  2.201762E-01  
96    -7.086804E+00  3.135798E-01  
97    -7.086804E+00  4.704615E-01  
98    -7.086804E+00  3.589290E-01  
99    -7.086804E+00  4.304831E-01  
100   -7.086804E+00  4.103902E-01  
101   -7.086804E+00  4.103902E-01  
