           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            122,   306.0773    ,   240.1758    ,  0.2065059    ,   236.5292    ,   339.5606    ,   4.695465    ,   65.23861    ,   53.42664    ,   18.20354    ,   1.009644    ,   3.867798    ,   8.062373    ,  -4.729553    ,  0.9155273E-04,   4.126709    ,   2.377167    ,  0.8753662    ,  0.4398417E-02,  0.8453835    ,   80272.48    ,
           1980,            123,   225.1019    ,   176.1746    ,  0.2083731    ,   263.8023    ,   335.2498    ,   3.873962    ,   55.57370    ,   39.51445    ,   9.691818    ,   1.234222    ,   3.029480    ,   8.048638    ,  -3.264221    ,   0.000000    ,   4.248047    ,   3.695557    ,  0.8978882    ,  0.4804851E-02,  0.9168441    ,   80019.95    ,
           1980,            124,   250.4216    ,   195.9774    ,  0.2093272    ,   256.4375    ,   332.2582    ,   3.238312    ,   68.35379    ,   48.43285    ,   2.846524    ,  -1.059265    ,   2.257629    ,   8.095720    ,  -2.309875    ,  0.9155273E-04,   4.099426    ,   3.953827    ,  0.9304810    ,  0.3776657E-02,  0.8807753    ,   80468.02    ,
           1980,            125,   285.7429    ,   223.5422    ,  0.2087020    ,   240.7458    ,   332.8866    ,   3.170288    ,   67.61994    ,   54.86278    ,   7.361452    , -0.2387695    ,   2.369934    ,   8.092793    ,  -3.707642    , -0.3051758E-04,   3.757294    ,   3.586395    ,  0.9625244    ,  0.3895592E-02,  0.8503599    ,   80651.77    ,
           1980,            126,   282.5090    ,   220.7209    ,  0.2088657    ,   255.9874    ,   339.8690    ,   4.675842    ,   71.31337    ,   52.55737    ,   11.81036    ,  0.6979675    ,   3.747955    ,   8.076617    ,  -2.487640    ,   0.000000    ,   4.566467    ,   3.713135    ,  0.9903564    ,  0.4601887E-02,  0.8458657    ,   80552.81    ,
           1980,            127,   198.3222    ,   154.8980    ,  0.2090770    ,   281.9254    ,   337.6069    ,   4.418457    ,   55.76826    ,   35.81247    ,   6.652735    ,  0.5384216    ,   3.296814    ,   8.059570    ,  -1.290161    ,  0.6103516E-04,   4.595520    ,   4.101410    ,   1.021271    ,  0.4672823E-02,  0.8499740    ,   80079.95    ,
           1980,            128,   163.4599    ,   126.9222    ,  0.2161260    ,   303.4829    ,   339.4203    ,   4.926086    ,   48.48507    ,   34.89665    ,   6.251673    ,  0.6113281    ,   3.638824    ,   8.064406    , -0.1207275    ,  0.6103516E-04,   4.891418    ,   4.216003    ,   1.055237    ,  0.4810546E-02,  0.8614801    ,   80248.41    ,
           1980,            129,   303.0010    ,   235.5427    ,  0.2137240    ,   249.8300    ,   343.9677    ,   5.503265    ,   75.03816    ,   61.51740    ,   4.641598    ,  0.6848145    ,   4.294586    ,   8.035741    ,  -1.271454    ,   0.000000    ,   4.747101    ,   3.778137    ,   1.088837    ,  0.4659355E-02,  0.8618991    ,   79531.16    ,
           1980,            130,   288.5083    ,   224.5472    ,  0.2128360    ,   246.8130    ,   338.3748    ,   4.243652    ,   73.01786    ,   53.61038    ,   6.044279    ,  0.6143799    ,   3.173065    ,   8.024847    ,  -2.072632    ,  0.6103516E-04,   4.402039    ,   3.859344    ,   1.118011    ,  0.4449881E-02,  0.8762753    ,   79223.30    ,
           1980,            131,   340.7330    ,   265.5074    ,  0.2114574    ,   217.5052    ,   337.3966    ,   3.853027    ,   79.84801    ,   58.32771    ,   6.402996    , -0.2852173    ,   2.526520    ,   8.062217    ,  -3.049316    ,   0.000000    ,   4.265594    ,   3.819458    ,   1.147644    ,  0.3859291E-02,  0.8575354    ,   79870.82    ,
           1980,            132,   313.9026    ,   244.5674    ,  0.2109253    ,   240.7357    ,   343.4026    ,   5.134979    ,   76.10065    ,   51.64354    ,   12.14194    ,  0.6384277    ,   3.473389    ,   8.050957    ,  -2.450165    , -0.6103516E-04,   4.830353    ,   3.908295    ,   1.176086    ,  0.4329518E-02,  0.8525344    ,   79878.84    ,
           1980,            133,   207.6824    ,   161.7930    ,  0.2111976    ,   276.5839    ,   339.9278    ,   4.832611    ,   57.95770    ,   33.80587    ,   6.721801    ,  0.3413696    ,   3.069916    ,   8.052896    , -0.9564209    ,  0.3051758E-04,   4.936218    ,   4.328674    ,   1.206390    ,  0.4544577E-02,  0.8492506    ,   79857.90    ,
           1980,            134,   298.5681    ,   232.2315    ,  0.2145343    ,   255.1094    ,   348.9118    ,   6.492920    ,   73.14253    ,   54.75838    ,   10.86494    ,  0.9738770    ,   4.914032    ,   8.046150    , -0.7998657    ,  0.6103516E-04,   5.836975    ,   4.520416    ,   1.240387    ,  0.4751186E-02,  0.8567759    ,   79882.04    ,
