           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,            122,  0.7002398E-01,   1.845550    ,   72.50760    ,  0.8102877    ,   71.69072    ,  0.6591981E-02,  -68.27490    ,  0.7002398E-01,   1.845550    ,   72.50760    ,  0.8102877    ,   71.69072    ,  0.6591981E-02,  0.1438272E-02,  0.2763746E-03,  0.7599723E-02,  0.6640300E-04,  0.4029099E-03,   18.77625    ,  0.5575736    ,   19.33382    ,   58.42837    ,  0.1918292E-01,   58.44755    ,   448.1320    ,   0.000000    ,   448.1320    ,   525.3367    ,  0.5767565    ,   525.9135    ,   3.855583    ,   0.000000    ,   529.7787    ,  -68.27490    ,
           1980,            123,  0.3807422    ,   3.207068    ,   74.02811    ,   1.491852    ,   72.51398    ,  0.2228386E-01,  -74.67712    ,  0.3107182    ,   1.361518    ,   1.520516    ,  0.6815645    ,  0.8232593    ,  0.1569188E-01,  0.1493493E-01,  0.6414810E-02,  0.4259075E-01,  0.4480014E-03,  0.4938745E-02,   17.94613    ,  0.1540841    ,   18.10021    ,   56.74020    ,  0.7022133E-02,   56.74723    ,   434.6537    ,   0.000000    ,   434.6537    ,   509.3400    ,  0.1611062    ,   509.5011    ,   7.404175    ,   0.000000    ,   516.9745    ,  -12.80420    ,
           1980,            124,  0.4912673    ,   4.879404    ,   75.27953    ,   2.368099    ,   72.86520    ,  0.4622159E-01,  -77.53510    ,  0.1105250    ,   1.672337    ,   1.251415    ,  0.8762473    ,  0.3512300    ,  0.2393773E-01,  0.2560394E-01,  0.5956050E-02,  0.6989792E-01,  0.9472855E-03,  0.4923689E-02,   17.54618    ,  0.1154014    ,   17.66158    ,   55.64540    ,  0.1076858E-02,   55.64647    ,   431.2830    ,   0.000000    ,   431.2830    ,   504.4745    ,  0.1164782    ,   504.5910    ,   10.10384    ,   0.000000    ,   514.8022    ,  -2.172302    ,
           1980,            125,  0.5013429    ,   6.774531    ,   76.32973    ,   3.238091    ,   73.01397    ,  0.7768251E-01,  -79.51929    ,  0.1007556E-01,   1.895126    ,   1.050218    ,  0.8699914    ,  0.1487652    ,  0.3146092E-01,  0.1079195E-03,  0.1363670E-03,  0.4591471E-01,  0.4046786E-03,  0.8407706E-03,   16.61037    ,  0.6389264    ,   17.24930    ,   54.56247    ,  0.2963695E-02,   54.56542    ,   428.3661    ,   0.000000    ,   428.3661    ,   499.5389    ,  0.6418902    ,   500.1808    ,   12.35283    ,   0.000000    ,   512.5810    ,  -2.221252    ,
           1980,            126,  0.5411045    ,   8.590071    ,   77.36571    ,   4.220475    ,   73.02924    ,  0.1160043    ,  -81.14404    ,  0.3976161E-01,   1.815540    ,   1.035969    ,  0.9823843    ,  0.1526323E-01,  0.3832174E-01,  0.2333519E-02,  0.5266520E-03,  0.3031666E-01,  0.2028545E-03,  0.8983474E-03,   16.48403    ,  0.2164972    ,   16.70052    ,   53.64623    ,  0.1687909E-02,   53.64792    ,   425.7461    ,   0.000000    ,   425.7461    ,   495.8763    ,  0.2181851    ,   496.0945    ,   14.28175    ,   0.000000    ,   510.4107    ,  -2.170319    ,
           1980,            127,   1.450483    ,   9.827146    ,   78.24924    ,   5.022737    ,   73.06591    ,  0.1606064    ,  -82.49219    ,  0.9093784    ,   1.237075    ,  0.8835427    ,  0.8022621    ,  0.3667840E-01,  0.4460215E-01,  0.2721532E-02,  0.2212980E-01,  0.2333635E-01,  0.1589546E-03,  0.2444683E-01,   16.24265    ,  0.5872177E-01,   16.30137    ,   53.04435    ,  0.3655093E-03,   53.04472    ,   423.4326    ,   0.000000    ,   423.4326    ,   492.7196    ,  0.5908728E-01,   492.7787    ,   15.96916    ,   0.000000    ,   508.8206    ,  -1.590088    ,
           1980,            128,   2.770808    ,   11.03228    ,   79.27990    ,   5.727454    ,   73.34145    ,  0.2110166    ,  -83.44727    ,   1.320325    ,   1.205134    ,   1.030663    ,  0.7047172    ,  0.2755362    ,  0.5041011E-01,  0.2144304E-01,  0.9066393E-01,  0.1979045    ,  0.4117195E-02,  0.1076839    ,   16.71341    ,  0.3171355E-03,   16.71372    ,   52.86982    ,  0.3868282E-03,   52.87021    ,   421.3949    ,   0.000000    ,   421.3949    ,   490.9781    ,  0.7039637E-03,   490.9788    ,   17.47510    ,   0.000000    ,   508.8758    ,  0.5517578E-01,
           1980,            129,   3.017371    ,   13.15732    ,   80.36231    ,   6.710774    ,   73.38472    ,  0.2668339    ,  -84.35077    ,  0.2465624    ,   2.125045    ,   1.082414    ,  0.9833195    ,  0.4327654E-01,  0.5581741E-01,  0.8429320E-02,  0.6332431E-02,  0.1967552    ,  0.3360171E-02,  0.5942031E-01,   16.28181    ,  0.5630320E-01,   16.33811    ,   52.42360    ,  0.4447605E-03,   52.42404    ,   419.5046    ,   0.000000    ,   419.5046    ,   488.2100    ,  0.5674796E-01,   488.2668    ,   18.83711    ,   0.000000    ,   507.3782    ,  -1.497559    ,
           1980,            130,   3.100607    ,   15.00932    ,   81.31564    ,   7.601774    ,   73.38620    ,  0.3276673    ,  -85.29413    ,  0.8323684E-01,   1.851996    ,  0.9533128    ,  0.8910011    ,  0.1478310E-02,  0.6083338E-01,  0.2103730E-02,  0.3459721E-03,  0.1656135    ,  0.9679242E-03,  0.5324828E-02,   15.40395    ,  0.1513670    ,   15.55532    ,   51.77833    ,  0.1614306E-03,   51.77849    ,   417.6349    ,   0.000000    ,   417.6349    ,   484.8171    ,  0.1515284    ,   484.9687    ,   20.07055    ,   0.000000    ,   505.2135    ,  -2.164673    ,
           1980,            131,   3.110105    ,   17.02405    ,   82.27618    ,   8.496328    ,   73.38670    ,  0.3931563    ,  -86.25693    ,  0.9498074E-02,   2.014726    ,  0.9605474    ,  0.8945521    ,  0.5062553E-03,  0.6548902E-01,  0.1278379E-02,  0.5953910E-04,  0.1220634    ,  0.4353424E-03,  0.1894989E-02,   14.24543    ,  0.5759003    ,   14.82133    ,   51.12137    ,  0.2586827E-03,   51.12165    ,   415.8699    ,   0.000000    ,   415.8699    ,   481.2367    ,  0.5761590    ,   481.8129    ,   21.19234    ,   0.000000    ,   503.1309    ,  -2.082642    ,
           1980,            132,   3.144955    ,   18.80799    ,   83.25225    ,   9.402378    ,   73.38691    ,  0.4629693    ,  -87.23782    ,  0.3485034E-01,   1.783936    ,  0.9760682    ,  0.9060491    ,  0.2060544E-03,  0.6981305E-01,  0.2301727E-03,  0.1355465E-02,  0.8808676E-01,  0.4369205E-03,  0.3977955E-02,   13.54739    ,  0.5604901    ,   14.10788    ,   50.42048    ,  0.5947089E-03,   50.42107    ,   414.1670    ,   0.000000    ,   414.1670    ,   478.1349    ,  0.5610849    ,   478.6960    ,   22.21623    ,   0.000000    ,   501.0062    ,  -2.124664    ,
           1980,            133,   4.547845    ,   19.97298    ,   83.97661    ,   10.05193    ,   73.38787    ,  0.5368096    ,  -88.16779    ,   1.402889    ,   1.164998    ,  0.7243524    ,  0.6495523    ,  0.9597274E-03,  0.7384035E-01,  0.3157046E-02,  0.4602694E-01,  0.7109997E-01,  0.5571426E-03,  0.2198617E-01,   13.69226    ,  0.9701806E-01,   13.78927    ,   49.94708    ,  0.4375011E-03,   49.94752    ,   412.6209    ,   0.000000    ,   412.6209    ,   476.2603    ,  0.9745555E-01,   476.3577    ,   23.15552    ,   0.000000    ,   499.6560    ,  -1.350189    ,
